,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
897,464,664701,Ben Taylor,465,2026.0,89.6,90.57,6.8,25.0,10,9.6,5.23,-1.36,,0
898,27,592273,Brandon Drury,27,1995.0,73.6,72.37,5.24,0.0,1,14.3,5.62,-3.86,27.5,0
899,1652,448609,Tony Sipp,1654,1958.0,86.3,85.47,5.9,24.5,36,8.9,5.95,2.3,,0
900,50,592533,Cody Martin,50,1952.0,82.4,82.63,6.42,0.0,2,15.4,5.49,-2.8,,0
901,7,543376,Caleb Joseph,9,1530.0,65.4,64.07,5.13,0.0,0,0.0,6.47,-1.66,,0
902,4969,606424,Jarlín García,4989,2203.0,88.8,88.62,6.21,19.8,94,7.2,5.97,1.83,37.6,0
903,174,660604,Alan Rangel,174,2198.0,86.8,87.21,6.53,17.4,6,13.0,6.31,0.51,71.5,0
904,18357,605135,Chris Bassitt,18377,2158.0,86.9,86.87,6.28,22.7,346,7.3,5.58,-1.5,37.4,0
905,193,642759,Julian Fernández,193,2251.0,96.1,96.76,6.55,17.0,6,11.3,6.17,-2.13,43.2,0
906,1712,571476,Chris Beck,1716,2094.0,91.3,91.74,6.45,14.4,51,11.6,6.11,-1.59,,0
907,313,642229,Daniel Wright,314,2286.0,84.9,84.03,5.73,12.9,8,9.4,6.23,-1.64,,0
908,968,674444,Steven Cruz,968,2206.0,94.9,95.79,6.83,21.3,28,10.4,5.54,-3.17,31.7,0
909,995,693855,Ian Seymour,995,2023.0,87.2,87.19,6.22,26.6,18,7.5,5.88,1.53,46.6,0
910,268,594867,Myles Jaye,268,2196.0,86.1,85.44,5.83,5.6,10,14.1,6.17,-2.7,,0
911,28,543829,Dee Strange-Gordon,28,1357.0,56.8,54.33,3.97,0.0,3,37.5,6.56,-1.45,34.7,0
912,3405,622251,Josh Staumont,3405,2430.0,91.4,91.9,6.6,25.2,107,12.9,6.29,-0.99,57.8,0
913,35,573131,Darin Ruf,35,1724.0,69.2,68.29,5.34,0.0,0,0.0,6.4,-2.48,39.8,0
914,32,543380,Taylor Jungmann,32,2421.0,89.5,88.92,6.03,16.7,1,16.7,6.29,-3.97,,0
915,4525,657140,Kyle Wright,4525,2362.0,89.8,90.06,6.42,22.0,116,9.5,5.64,-1.82,29.6,0
916,6219,663738,Daniel Lynch IV,6219,2038.0,89.0,89.87,6.74,18.5,137,8.6,5.89,1.32,40.3,0
917,813,690829,Ben Joyce,813,2196.0,97.7,98.61,6.83,20.9,25,11.8,5.11,-1.93,26.3,1
